text_id,text_type,sent_count,word_count,avg_sent_length,noun_ratio,verb_ratio,adj_ratio,max_consecutive_nouns,consecutive_nouns_groups,three_plus_consecutive_nouns,max_syntactic_depth,flesch_kincaid_grade,participles_count,gerunds_count,passive_constructions,modal_constructions,pointer_words,bureaucratic_phrases,complex_sentences,complex_sentences_ratio,avg_clause_length
53,original,11,103,9.363636363636363,40.77669902912621,18.446601941747574,10.679611650485436,3,30,2,6,14.128711385701681,2,0,6,6,1,2,1,0.09090909090909091,8.583333333333334
53,paraphrased,9,108,12.0,37.96296296296296,16.666666666666664,9.25925925925926,3,28,2,7,13.665555555555557,1,0,5,5,0,1,1,0.1111111111111111,8.666666666666666
54,original,12,115,9.583333333333334,33.04347826086956,18.26086956521739,11.304347826086957,3,26,4,5,13.817318840579713,3,0,2,4,1,0,1,0.08333333333333333,6.277777777777778
54,paraphrased,12,125,10.416666666666666,30.4,19.2,8.799999999999999,2,32,0,6,12.130333333333336,3,1,1,1,0,0,1,0.08333333333333333,5.95
55,original,11,98,8.909090909090908,43.87755102040816,9.183673469387756,6.122448979591836,4,30,3,10,8.150259740259742,4,0,1,0,3,1,1,0.09090909090909091,8.416666666666666
55,paraphrased,5,76,15.2,42.10526315789473,9.210526315789473,11.842105263157894,3,20,2,12,11.904736842105262,0,0,1,2,0,0,1,0.2,14.0
56,original,19,357,18.789473684210527,33.33333333333333,15.126050420168067,8.403361344537815,4,97,3,8,13.122383900928792,12,1,11,10,6,1,1,0.05263157894736842,9.88888888888889
56,paraphrased,16,179,11.1875,40.78212290502793,14.52513966480447,6.145251396648044,4,56,3,6,9.197046089385474,1,0,1,2,3,0,1,0.0625,6.0
57,original,11,228,20.727272727272727,21.929824561403507,12.719298245614036,10.087719298245613,2,46,0,9,14.41047846889952,5,0,5,7,2,1,1,0.09090909090909091,7.09375
57,paraphrased,12,223,18.583333333333332,22.869955156950674,13.004484304932735,8.520179372197308,2,47,0,11,12.95009715994021,6,0,7,7,3,1,1,0.08333333333333333,6.9375
58,original,11,147,13.363636363636363,40.136054421768705,14.285714285714285,6.802721088435375,3,43,4,6,16.063246753246755,4,1,8,4,0,0,1,0.09090909090909091,8.705882352941176
58,paraphrased,21,154,7.333333333333333,45.45454545454545,9.740259740259742,5.194805194805195,3,49,5,7,7.822121212121214,3,0,8,2,0,0,1,0.047619047619047616,5.84
59,original,10,59,5.9,47.45762711864407,20.33898305084746,10.16949152542373,3,19,2,4,7.292203389830508,3,0,1,1,1,1,1,0.1,4.615384615384615
59,paraphrased,9,56,6.222222222222222,42.857142857142854,23.214285714285715,8.928571428571429,2,19,0,4,8.071111111111112,3,0,1,1,0,0,1,0.1111111111111111,4.3076923076923075
60,original,12,221,18.416666666666668,38.91402714932127,12.217194570135746,14.479638009049776,3,69,2,6,17.602043740573155,11,0,3,9,3,1,1,0.08333333333333333,7.586206896551724
60,paraphrased,24,198,8.25,33.83838383838384,16.161616161616163,10.1010101010101,2,59,0,7,7.498636363636365,7,0,4,3,1,1,1,0.041666666666666664,4.5227272727272725
61,original,18,203,11.277777777777779,37.4384236453202,13.793103448275861,18.226600985221676,4,52,5,9,11.938544061302682,3,0,5,11,1,3,1,0.05555555555555555,6.8
61,paraphrased,22,206,9.363636363636363,50.970873786407765,12.135922330097088,12.62135922330097,4,69,9,6,9.520944395410414,0,2,6,3,0,0,1,0.045454545454545456,6.090909090909091
